home,total,baseline,defrost,usage,usage_cycles,non_usage_cycles,defrost_cycles,baseline_duty_percent,total_mins,artifical_sum,baseline_percentage,defrost_percentage,usage_percentage
1,77.6503413899,22.8628689561,50.5845509481,6.33140251124,931.0,1821.0,212.0,0.461538461538,44339.0,79.7788224154,29.4433592265,65.1440161661,8.15373428876
2,76.2521857144,,0.0,,0.0,0.0,0.0,,108837.0,,,0.0,
8,68.6709469661,52.2795657438,0.0,15.3285982995,2551.0,4755.0,0.0,0.578947368421,108837.0,67.6081640433,76.130544362,0.0,22.3218099892
11,78.7827416847,57.6905704238,0.0,20.4193153409,2120.0,3253.0,0.0,0.583333333333,86098.0,78.1098857647,73.2274216283,0.0,25.9185132483
13,69.8622381326,9.81600121909,0.0,16.0550968385,670.0,456.0,0.0,0.16,40018.0,25.8710980576,14.0505106642,0.0,22.981080005
14,78.0044406911,18.2114059025,43.3082326687,12.2793897543,5733.0,3804.0,86.0,0.333333333333,65938.0,73.7990283256,23.3466271166,55.520214343,15.7419111598
15,66.1426419854,60.016744438,0.0,4.45286839937,692.0,5333.0,0.0,0.777777777778,65878.0,64.4696128373,90.7383537101,0.0,6.73222034336
18,49.5522567765,35.9695082865,0.0,12.782001681,2234.0,3046.0,0.0,0.516129032258,108837.0,48.7515099674,72.5890416024,0.0,25.7949940376
22,53.8644307701,43.2110625009,0.0,9.40283324648,2175.0,5204.0,0.0,0.611111111111,108837.0,52.6138957473,80.2218864714,0.0,17.4564793725
25,47.9427702935,31.0536907234,0.0,14.2817387984,2768.0,3561.0,0.0,0.444444444444,108837.0,45.3354295218,64.772416223,0.0,29.7891396575
29,37.9135566788,32.7120254401,0.0,5.18956472524,1853.0,4766.0,0.0,0.7,108837.0,37.9015901653,86.280550562,0.0,13.6878868137
33,54.2188109908,43.1362930723,0.0,10.8057086173,3567.0,5699.0,0.0,0.588235294118,108837.0,53.9420016896,79.5596441236,0.0,19.9298148001
34,69.5528720485,61.9257574595,0.0,5.77411657306,709.0,3612.0,0.0,0.772727272727,108837.0,67.6998740326,89.0340767184,0.0,8.30176584087
35,70.0644208794,44.3116721259,0.0,24.336834409,2562.0,2201.0,0.0,0.461538461538,108837.0,68.648506535,63.2441852366,0.0,34.7349397934
37,61.9387657166,41.6347116421,0.0,18.8841642204,1511.0,2456.0,0.0,0.5,86098.0,60.5188758625,67.2191496882,0.0,30.4884412887
42,72.3363324932,62.3482298334,0.0,9.86362450134,421.0,1344.0,0.0,0.746268656716,44339.0,72.2118543348,86.1921356592,0.0,13.6357818559
43,45.3111898657,37.6446031285,0.0,7.59672320974,1464.0,3173.0,0.0,0.647058823529,65878.0,45.2413263382,83.0801469573,0.0,16.7656670069
44,60.342982011,11.2271782798,0.0,13.4600292449,1367.0,1130.0,0.0,0.166666666667,108837.0,24.6872075248,18.6056073228,0.0,22.3058735189
45,57.2937006025,43.7777413107,0.0,11.0696296194,1859.0,3436.0,0.0,0.588235294118,108837.0,54.8473709301,76.4093449199,0.0,19.3208494179
46,118.678945081,49.2914730225,0.0,19.4637144134,1473.0,2309.0,0.0,0.551724137931,108837.0,68.7551874359,41.5334607067,0.0,16.4003095916
47,67.6976838901,60.5705042855,0.0,5.80552571962,735.0,3253.0,0.0,0.75,44339.0,66.3760300051,89.4720480893,0.0,8.57566372439
50,60.4774465776,34.4457117249,0.0,20.7167256012,1498.0,2157.0,0.0,0.4375,108837.0,55.1624373261,56.9562930881,0.0,34.255291474
51,69.7708096365,25.5300813418,32.4432831935,11.8896678541,736.0,1208.0,40.0,0.428571428571,23039.0,69.8630323894,36.5913502721,46.4997946312,17.041034662
52,63.3736729656,53.0397035122,0.0,10.3137395088,948.0,2085.0,0.0,0.642857142857,44339.0,63.353443021,83.693592355,0.0,16.2744859595
54,77.978407499,11.8589235419,0.0,8.85854280236,2751.0,2356.0,0.0,0.263157894737,108837.0,20.7174663443,15.2079581031,0.0,11.3602509803
55,120.522907708,19.8369064393,0.0,11.8761441492,3456.0,4106.0,0.0,0.363636363636,108837.0,31.7130505885,16.4590340679,0.0,9.85384801532
57,86.2810619438,83.2765765229,0.0,2.33284121798,243.0,5115.0,0.0,0.823529411765,108837.0,85.6094177409,96.5177927193,0.0,2.70376970962
58,90.6351114026,76.4795121956,0.0,10.4314059089,2116.0,6862.0,0.0,0.7,108837.0,86.9109181045,84.381771051,0.0,11.5092327327
59,33.8745258265,7.51200751247,0.0,9.80702336645,1950.0,869.0,0.0,0.138888888889,108837.0,17.3190308789,22.1759783472,0.0,28.951027733
60,55.6962475273,24.2783428915,0.0,12.3843215331,4099.0,3600.0,0.0,0.416666666667,108837.0,36.6626644246,43.5906258849,0.0,22.2354684254
61,55.5854925448,47.8372501822,0.0,7.45651431932,1206.0,3175.0,0.0,0.69696969697,108837.0,55.2937645015,86.0606751728,0.0,13.4144971609
67,130.192717708,102.101639374,0.0,20.1186946707,672.0,1333.0,0.0,0.692307692308,65878.0,122.220334045,78.4234642092,0.0,15.4530107559
